first name,last name,gender,address,sector,date of birth,occupation
Robert,OB,Female,1110 Cranston,4,1986-01-30,Accountant
Steve,UA,Male,1110 Cranston,4,1986-01-30,Lawyer
John,BB,Male,202 Auburn Bay,2,2013-11-24,Accountant
Karen,XB,Male,202 Auburn Bay,3,1986-01-30,Accountant
Robert,WC,Male,1110 Cranston,1,2006-09-26,Lawyer
Elizabeth,TC,Female,24 Walden,4,2006-09-26,Lawyer
Max,XC,Male,202 Auburn Bay,2,2013-11-24,Doctor
Cathy,J,Female,24 Walden,1,2013-11-24,Mechanic
Robert,RA,Male,1110 Cranston,5,2006-09-26,Mechanic
Karen,UB,Female,47 Nolan Hills,3,1986-01-30,Doctor
Steve,FB,Male,47 Nolan Hills,4,2002-09-13,Accountant
John,GA,Male,47 Nolan Hills,4,2006-09-26,Lawyer
Karen,DC,Male,202 Auburn Bay,3,1986-01-30,Mechanic
Robert,AB,Female,47 Nolan Hills,2,2002-09-13,Lawyer
John,T,Male,24 Walden,1,1986-01-30,Mechanic
Elizabeth,LA,Female,202 Auburn Bay,4,1986-01-30,Accountant
John,NB,Male,24 Walden,3,2006-09-26,Lawyer
Steve,PB,Female,64 Evergreen,4,1986-01-30,Doctor
John,JB,Male,1110 Cranston,2,2006-09-26,Doctor
Robert,EC,Female,202 Auburn Bay,1,1986-01-30,Doctor
Karen,M,Male,47 Nolan Hills,4,2002-09-13,Mechanic
Cathy,BA,Male,64 Evergreen,4,2002-09-13,Mechanic
John,MC,Female,47 Nolan Hills,1,2007-02-02,Lawyer
Robert,ZC,Female,24 Walden,4,2007-02-02,Lawyer
Robert,RB,Female,24 Walden,5,2013-11-24,Lawyer
John,PC,Female,24 Walden,2,2002-09-13,Mechanic
Steve,X,Male,202 Auburn Bay,4,2007-02-02,Lawyer
Karen,NC,Male,1110 Cranston,2,1986-01-30,Accountant
Steve,BC,Male,64 Evergreen,4,1986-01-30,Lawyer
Robert,G,Female,64 Evergreen,2,2013-11-24,Lawyer
Robert,H,Female,64 Evergreen,3,2006-09-26,Mechanic
Steve,EA,Male,24 Walden,4,1986-01-30,Accountant
Cathy,KB,Male,202 Auburn Bay,4,2002-09-13,Mechanic
Max,VB,Female,202 Auburn Bay,2,2006-09-26,Lawyer
Robert,AA,Female,1110 Cranston,4,2007-02-02,Doctor
Robert,V,Male,47 Nolan Hills,2,1986-01-30,Doctor
Robert,HB,Female,24 Walden,4,2002-09-13,Lawyer
Robert,FC,Female,202 Auburn Bay,2,2006-09-26,Lawyer
Max,WA,Male,202 Auburn Bay,1,1986-01-30,Lawyer
Cathy,QB,Female,64 Evergreen,2,2002-09-13,Accountant
Cathy,OA,Female,1110 Cranston,4,1986-01-30,Mechanic
John,QC,Male,1110 Cranston,2,2002-09-13,Doctor
Robert,EB,Male,24 Walden,2,2007-02-02,Doctor
Steve,W,Female,202 Auburn Bay,5,2002-09-13,Lawyer
John,XA,Female,202 Auburn Bay,3,1986-01-30,Doctor
John,JA,Female,64 Evergreen,5,2013-11-24,Mechanic
Elizabeth,CB,Male,47 Nolan Hills,1,2002-09-13,Mechanic
Max,SC,Female,47 Nolan Hills,4,2002-09-13,Accountant
Max,AC,Male,64 Evergreen,2,1986-01-30,Lawyer
Cathy,Z,Female,64 Evergreen,2,2013-11-24,Accountant
Elizabeth,HC,Female,47 Nolan Hills,4,2002-09-13,Lawyer
Max,YA,Female,64 Evergreen,1,2006-09-26,Mechanic
Cathy,KA,Female,202 Auburn Bay,1,2006-09-26,Doctor
Elizabeth,Q,Male,24 Walden,2,2007-02-02,Lawyer
Cathy,ZA,Male,1110 Cranston,1,2013-11-24,Lawyer
Cathy,B,Male,24 Walden,2,2002-09-13,Lawyer
Cathy,S,Female,47 Nolan Hills,3,2006-09-26,Accountant
Steve,PA,Male,202 Auburn Bay,2,2013-11-24,Lawyer
Steve,LC,Female,47 Nolan Hills,2,2013-11-24,Lawyer
Steve,I,Male,64 Evergreen,1,2007-02-02,Lawyer
Cathy,LB,Female,64 Evergreen,1,2007-02-02,Doctor
Max,MB,Female,1110 Cranston,1,2013-11-24,Mechanic
Max,K,Male,202 Auburn Bay,5,2006-09-26,Doctor
